,,Invoiced consumption (MWh),,,,,,Share in total consumption (%),,,,,,,,,,,,
,,Industry,Commercial,Residental,Lighting,Irrigation,Total,Industry,Commercial,Residental,Lighting,Irrigation,Total,,,,,,,
2017,January,"7,463,647","5,743,154","5,345,309","430,996","84,359","19,067,465",39%,30%,28%,2%,0%,100%,,,,,,,
,February,"7,185,139","5,417,626","4,711,341","387,365","64,358","17,765,830",40%,30%,27%,2%,0%,100%,,,,,,,
,March,"8,019,394","5,470,873","4,512,257","381,294","161,109","18,544,927",43%,30%,24%,2%,1%,100%,,,,,,,
,April,"7,778,899","4,966,728","4,173,044","345,492","236,668","17,500,831",44%,28%,24%,2%,1%,100%,,,,,,,
,Mayýs,"8,173,868","5,024,599","3,947,168","311,131","595,313","18,052,079",45%,28%,22%,2%,3%,100%,,,,,,,
,June,"7,299,600","5,239,589","3,899,828","287,734","624,013","17,350,763",42%,30%,22%,2%,4%,100%,,,,,,,
,July,"8,160,269","6,264,615","4,708,253","299,183","1,427,034","20,859,354",39%,30%,23%,1%,7%,100%,,,,,,,
,August,"8,168,103","6,524,704","4,600,466","325,486","1,522,792","21,141,551",39%,31%,22%,2%,7%,100%,,,,,,,
,September,"7,531,008","5,811,369","4,725,284","366,055","1,092,518","19,526,235",39%,30%,24%,2%,6%,100%,,,,,,,
,October,"8,437,107","5,322,293","3,806,829","387,086","482,483","18,435,798",46%,29%,21%,2%,3%,100%,,,,,,,
,November,"8,376,443","5,259,319","4,361,498","392,118","224,576","18,613,953",45%,28%,23%,2%,1%,100%,,,,,,,
,December,"8,357,020","5,340,703","4,718,799","421,615","47,971","18,886,107",44%,28%,25%,2%,0%,100%,,,,,,,
2018,January,"8,337,876","5,695,666","5,070,544","465,574","281,849","19,851,509",42%,29%,26%,2%,1%,100%,,,,,,,
,February,"7,817,918","5,305,509","4,861,397","441,908","153,271","18,580,004",42%,29%,26%,2%,1%,100%,,,,,,,
,March,"8,621,926","5,312,524","4,598,490","382,702","218,833","19,134,476",45%,28%,24%,2%,1%,100%,,,,,,,
,April,"8,250,015","5,097,972","4,183,816","362,120","496,857","18,390,780",45%,28%,23%,2%,3%,100%,,,,,,,
,Mayýs,"8,588,135","5,412,173","4,066,716","324,318","773,919","19,165,261",45%,28%,21%,2%,4%,100%,,,,,,,
,June,"7,633,209","5,616,489","4,259,706","289,113","813,842","18,612,360",41%,30%,23%,2%,4%,100%,,,,,,,
,July,"8,737,329","6,763,249","4,628,105","307,348","1,745,069","22,181,099",39%,30%,21%,1%,8%,100%,,,,,,,
,August,"7,397,255","6,506,999","4,468,868","332,251","1,141,351","19,846,724",37%,33%,23%,2%,6%,100%,,,,,,,
,September,"7,888,241","6,050,822","4,993,223","410,390","1,336,748","20,679,423",38%,29%,24%,2%,6%,100%,,,,,,,
,October,"8,157,598","5,409,000","4,137,135","458,593","641,088","18,803,414",43%,29%,22%,2%,3%,100%,,,,,,,
,November,"7,925,546","5,300,028","4,455,302","483,050","605,015","18,768,941",42%,28%,24%,3%,3%,100%,,,,,,,
,December,"7,640,800","5,818,823","5,046,677","498,436","591,302","19,596,038",39%,30%,26%,3%,3%,100%,,,,,,,
2019,January,"7,387,067","5,886,863","5,351,390","480,257","110,908","19,216,484",38%,31%,28%,2%,1%,100%,,,,,,,
,February,"7,095,180","5,152,603","4,906,505","472,044","33,057","17,659,390",40%,29%,28%,3%,0%,100%,,,,,,,
,March,"7,910,066","5,273,307","4,705,901","431,502","289,192","18,609,968",43%,28%,25%,2%,2%,100%,,,,,,,
,April,"7,960,765","4,994,388","4,562,882","418,425","266,453","18,202,913",44%,27%,25%,2%,1%,100%,,,,,,,
,Mayýs,"8,255,023","4,991,931","4,447,395","330,488","404,551","18,429,388",45%,27%,24%,2%,2%,100%,,,,,,,
,June,"7,050,071","4,635,622","5,627,737","320,877","1,147,643","18,781,949",38%,25%,30%,2%,6%,100%,,,,,,,
,July,"8,494,251","6,123,338","4,486,989","329,639","1,903,938","21,338,155",40%,29%,21%,2%,9%,100%,,,,,,,
,August,"7,267,020","6,105,322","4,956,730","373,152","1,272,491","19,974,714",36%,31%,25%,2%,6%,100%,,,,,,,
,September,"8,212,221","5,772,166","4,930,839","411,369","1,047,395","20,373,991",40%,28%,24%,2%,5%,100%,,,,,,,
,October,"8,357,097","5,189,548","4,197,725","566,644","671,209","18,982,223",44%,27%,22%,3%,4%,100%,,,,,,,
,November,"8,193,812","4,809,677","4,445,199","402,871","1,011,800","18,863,359",43%,25%,24%,2%,5%,100%,,,,,,,
,December,"8,280,126","5,223,509","4,762,599","504,415","394,732","19,165,380",43%,27%,25%,3%,2%,100%,,,,,,,
2020,January,"8,369,677","5,613,450","5,416,530","507,451","129,329","20,036,437",42%,28%,27%,3%,1%,100%,,,,,,,
,February,"8,071,953","5,242,639","5,209,139","454,409","19,208","18,997,714",42%,28%,27%,2%,0%,100%,,,,,,,
,March,"8,305,849","4,480,735","4,811,516","442,426","412,162","18,452,688",45%,24%,26%,2%,2%,100%,,,,,,,
,April,"6,159,708","3,447,835","5,050,218","402,837","499,414","15,560,012",40%,22%,32%,3%,3%,100%,,,,,,,
,Mayýs,"6,343,361","3,304,672","4,620,043","367,193","746,454","15,381,723",41%,21%,30%,2%,5%,100%,,,,,,,
,June,"8,208,321","4,693,176","4,429,253","358,604","1,148,059","18,837,413",44%,25%,24%,2%,6%,100%,,,,,,,
,July,"8,727,090","5,419,024","4,788,034","349,260","1,798,178","21,081,586",41%,26%,23%,2%,9%,100%,,,,,,,
,August,"8,615,814","5,744,116","5,633,203","374,014","1,892,314","22,259,462",39%,26%,25%,2%,9%,100%,,,,,,,
,September,"9,162,315","5,609,661","5,051,178","419,970","1,773,920","22,017,044",42%,25%,23%,2%,8%,100%,,,,,,,
,October,"9,368,984","4,902,069","4,651,824","463,717","873,221","20,259,814",46%,24%,23%,2%,4%,100%,,,,,,,
,November,"9,097,941","4,637,618","4,787,937","460,079","406,518.95","19,390,094",47%,24%,25%,2%,2%,100%,,,,,,,
,December,"9,338,797","4,797,529","5,423,532","495,875","1,107,318","21,163,051",44%,23%,26%,2%,5%,100%,,,,,,,
2021,January,"9,092,374","4,540,149","5,630,579","525,708","181,005","19,969,814",46%,23%,28%,3%,1%,100%,,,,,,,
,February,"8,534,373","4,323,621","5,216,399","461,876","551,906","19,088,175",45%,23%,27%,2%,3%,100%,,,,,,,
,March,"9,631,323","4,956,347","5,332,521","462,414","499,444","20,882,048",46%,24%,26%,2%,2%,100%,,,,,,,
,April,,,,,,,,,,,,,,,,,,,
,Mayýs,,,,,,,,,,,,,,,,,,,
,June,,,,,,,,,,,,,,,,,,,
,July,,,,,,,,,,,,,,,,,,,
,August,,,,,,,,,,,,,,,,,,,
,September,,,,,,,,,,,,,,,,,,,
,October,,,,,,,,,,,,,,,,,,,
,November,,,,,,,,,,,,,,,,,,,
,December,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
